bairros_sp,causa_afastamento_1,causa_afastamento_2,causa_afastamento_3,motivo_desligamento,cbo,cnae_classe,distritos_sp,vinculo_ativo_31dez,faixa_etaria,faixa_hora_contrat,faixa_remun_dezem_sm,faixa_remun_media_sm,faixa_tempo_emprego,escolaridade,qtd_hora_contr,idade,ind_simples,mes_admissao,mes_desligamento,municipio,natureza_juridica,ind_portador_defic,qtd_dias_afastamento,raca_cor,vl_remun_dezembro_nom,vl_remun_dezembro_sm,vl_remun_media_nom,vl_remun_media_sm,cnae_subclasse,sexo_trabalhador,tamanho_estabelecimento,tempo_emprego,tipo_admissao,tipo_estab41,tipo_estab42,tipo_defic,tipo_vinculo,ind_trab_intermitente,ind_trab_parcial,ano,cod_siaf_municipio,cod_ibge_municipio,cod_tse_municipio,nome_municipio,nome_municipio_sem_acento,ocupacao,setor,contribuinte_senai,nome_tipo_vinculo,nome_genero,nivel_escolaridade,segmentacao_escolaridade
1443,10,{ñ class},{ñ class},0,862150,82997,19,1,6,6,{ñ class},{ñ class},6,5,44,41,1,0,0,355030,2062,N,0,2,0000000000.00,000000.00,0000000000.00,000000.00,8299799,1,2,48.6,0,1,CNPJ,N,10,N,N,2008,7107,3550308,71072,SÃO PAULO,SAO PAULO,"Operador de Maquinas Fixas, em Geral",Outros,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,322205,94995,9999,1,5,5,5,4,5,7,36,35,0,0,0,350760,3999,N,47,8,0000002032.18,000002.30,0000001913.41,000002.17,9499500,2,8,27.4,0,1,CNPJ,N,10,N,N,2016,6251,3507605,62510,BRAGANÇA PAULISTA,BRAGANCA PAULISTA,Tecnico de Enfermagem,Ausente da Carteira,NÃO,CLT U/PJ IND,,,
{ñ c,10,99,99,0,411005,84116,80,1,6,5,9,8,8,9,40,48,0,0,0,355030,1031,N,37,99,0000006903.92,000009.53,0000007137.29,000009.85,8411600,2,8,303.3,0,1,CNPJ,N,30,N,N,2014,7107,3550308,71072,SÃO PAULO,SAO PAULO,"Auxiliar de Escritorio, em Geral",Outros,NÃO,ESTATUTARIO,,,
9999,10,99,99,0,513435,56112,9999,1,3,6,3,3,3,7,44,20,0,6,0,353870,2062,N,30,2,0000000880.00,000001.29,0000001178.63,000001.73,5611201,1,5,6.9,2,1,CNPJ,N,10,N,N,2013,6875,3538709,68756,PIRACICABA,PIRACICABA,Atendente de Lanchonete,Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,782510,1415,9999,1,5,6,5,4,4,6,44,31,0,0,0,351290,2062,N,34,2,0000002459.85,000002.79,0000002428.06,000002.75,141502,1,5,16.9,0,1,CNPJ,N,10,N,N,2016,6359,3512902,63592,COSMORAMA,COSMORAMA,Motorista de Caminhao (Rotas Regionais e Internacionais),Ausente da Carteira,NÃO,CLT U/PJ IND,,,
9999,10,30,30,0,515105,84116,9999,1,7,5,3,2,6,7,40,58,0,0,0,350280,1031,N,10,8,0000001354.85,000001.44,0000001315.43,000001.39,8411600,2,10,39.1,0,1,CNPJ,N,10,N,N,2017,6155,3502804,61557,ARAÇATUBA,ARACATUBA,Agente Comunitario de Saude,Outros,NÃO,CLT U/PJ IND,,,
105,10,99,99,0,519110,82997,19,1,5,6,3,2,4,7,44,33,0,0,0,355030,2062,N,50,2,0000000910.00,000001.46,0000000902.86,000001.44,8299799,1,6,19.9,0,1,CNPJ,N,10,N,N,2012,7107,3550308,71072,SÃO PAULO,SAO PAULO,Motociclista no Transporte de Documentos e Pequenos Volumes,Outros,NÃO,CLT U/PJ IND,,,
1110,10,99,99,0,782515,52290,22,1,5,6,4,5,5,7,44,31,1,0,0,355030,2062,N,16,2,0000001697.06,000001.81,0000003167.68,000003.37,5229002,1,5,27.4,0,1,CNPJ,N,10,N,N,2017,7107,3550308,71072,SÃO PAULO,SAO PAULO,Motorista Operacional de Guincho,Indústria Automotiva,NÃO,CLT U/PJ IND,,,
99,10,99,99,0,515105,84116,80,1,6,5,5,4,7,7,40,46,0,0,0,355030,1031,N,158,99,0000002540.79,000002.66,0000002560.37,000002.68,8411600,1,10,86.6,0,1,CNPJ,N,30,N,N,2018,7107,3550308,71072,SÃO PAULO,SAO PAULO,Agente Comunitario de Saude,Outros,NÃO,ESTATUTARIO,,,
9999,10,{ñ class},{ñ class},0,860105,29492,9999,1,7,6,7,6,8,4,44,58,0,0,0,354340,2062,N,55,2,0000002121.29,000004.56,0000002052.30,000004.45,2949299,1,8,143.6,0,1,CNPJ,N,10,N,N,2009,6969,3543402,69698,RIBEIRÃO PRETO,RIBEIRAO PRETO,Supervisor de Manutencao Eletromecanica (Utilidades),Indústria Automotiva,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,99,99,0,517215,84116,9999,1,6,5,7,6,8,7,40,49,0,0,0,354730,1031,N,15,99,0000004436.66,000004.73,0000004492.63,000004.79,8411600,1,10,210.9,0,1,CNPJ,N,30,N,N,2017,7047,3547304,70475,SANTANA DE PARNAÍBA,SANTANA DE PARNAIBA,Guarda-Civil Municipal,Outros,NÃO,ESTATUTARIO,,,
1638,10,99,99,0,783225,56112,79,1,7,6,99,99,5,7,44,57,1,0,0,355030,2135,N,365,2,0000000000.00,000000.00,0000000000.00,000000.00,5611201,1,2,31.9,0,1,CNPJ,N,10,N,N,2018,7107,3550308,71072,SÃO PAULO,SAO PAULO,Ajudante de Motorista,Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,784205,15106,9999,1,5,6,3,2,5,7,44,32,0,0,0,351620,2062,N,215,2,0000000545.60,000001.43,0000000557.96,000001.50,1510600,2,8,24.8,0,1,CNPJ,N,10,N,N,2007,6425,3516200,64254,FRANCA,FRANCA,Alimentador de Linha de Producao,Indústria Têxtil-Vestuária e Couro-Calçadista,CONTRIBUINTE,CLT U/PJ IND,,,
9999,20,99,99,0,513505,56201,9999,1,7,6,2,2,7,7,44,56,1,0,0,350950,2062,N,124,2,0000000808.67,000000.86,0000001148.05,000001.22,5620101,2,5,61.9,0,1,CNPJ,N,10,N,N,2017,6291,3509502,62910,CAMPINAS,CAMPINAS,Auxiliar nos Serviços de Alimentação,Indústria de Alimentos,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,914405,45200,9999,1,6,6,5,4,5,7,44,43,1,4,0,351440,2062,N,73,2,0000000845.00,000002.41,0000000830.89,000002.46,4520001,1,4,32.9,0,1,CNPJ,N,10,N,N,2006,6389,3514403,63894,DRACENA,DRACENA,"Mecanico de Manutencao de Automoveis, Motocicletas e Veiculos Similares",Indústria Automotiva,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,622020,1113,9999,1,5,6,5,3,2,4,44,31,0,8,0,353050,4080,N,46,2,0000001225.65,000002.95,0000000794.60,000001.91,111302,2,6,4.8,2,1,CNPJ,N,20,N,N,2008,6711,3530508,67113,MOCOCA,MOCOCA,Trabalhador Volante da Agricultura,Ausente da Carteira,NÃO,CLT R/PJ IND,,,
9999,20,{ñ class},{ñ class},0,764305,15319,9999,1,3,6,5,4,3,3,44,24,1,5,0,352530,2135,N,61,2,0000000840.00,000002.40,0000000829.99,000002.37,1531902,1,6,7.9,2,1,CNPJ,N,10,N,N,2006,6607,3525300,66079,JAÚ,JAU,Acabador de Calcados,Indústria Têxtil-Vestuária e Couro-Calçadista,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,99,99,0,821445,47890,9999,1,6,6,4,3,4,3,44,41,1,0,0,351110,2062,N,34,2,0000001070.00,000001.72,0000001001.00,000001.60,4789099,1,2,19.5,0,1,CNPJ,N,10,N,N,2012,6323,3511102,63231,CATANDUVA,CATANDUVA,Preparador de Sucata e Aparas,Outros,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,413105,43223,9999,1,5,6,6,4,3,7,44,37,1,2,0,353390,2062,N,18,2,0000001916.85,000003.08,0000001398.74,000002.24,4322302,2,4,10.1,2,1,CNPJ,N,10,N,N,2012,6779,3533908,67792,OLÍMPIA,OLIMPIA,Analista de Folha de Pagamento,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
9999,20,20,{ñ class},0,914405,45439,9999,1,3,6,1,2,4,6,44,20,1,9,0,354980,2135,N,30,2,0000000149.22,000000.42,0000000377.29,000001.11,4543900,1,2,15.9,0,1,CNPJ,N,10,N,N,2006,7097,3549805,70971,SÃO JOSÉ DO RIO PRETO,SAO JOSE DO RIO PRETO,"Mecanico de Manutencao de Automoveis, Motocicletas e Veiculos Similares",Indústria Automotiva,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,99,99,0,411005,69206,9999,1,3,6,3,2,6,6,44,24,1,0,0,351620,2062,N,184,2,0000000995.20,000001.46,0000000854.91,000001.25,6920601,1,2,53.9,0,1,CNPJ,N,10,N,N,2013,6425,3516200,64254,FRANCA,FRANCA,"Auxiliar de Escritorio, em Geral",Ausente da Carteira,NÃO,CLT U/PJ IND,,,
9999,10,40,{ñ class},0,715615,71120,9999,1,5,6,{ñ class},5,4,7,44,36,0,0,0,354990,2062,N,84,8,0000000000.00,000000.00,0000001589.74,000003.88,7112000,1,7,14.9,0,1,CNPJ,N,10,N,N,2008,7099,3549904,70998,SÃO JOSÉ DOS CAMPOS,SAO JOSE DOS CAMPOS,Eletricista de Instalacoes,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,514210,81222,9999,1,5,6,3,2,5,4,44,37,0,1,0,350570,2062,N,75,2,0000000387.80,000001.10,0000000363.75,000001.07,8122200,2,10,35.5,0,1,CNPJ,N,10,N,N,2006,6213,3505708,62138,BARUERI,BARUERI,Faxineiro (Desativado na Competencia 01/2009),Indústria Química,NÃO,CLT U/PJ IND,,,
9999,10,10,{ñ class},0,862150,28143,9999,1,3,6,1,4,7,7,44,24,0,5,0,354890,2062,N,196,2,0000000120.08,000000.34,0000000967.05,000002.96,00000-1,1,10,67.4,0,1,CNPJ,N,10,N,N,2006,7079,3548906,70793,SÃO CARLOS,SAO CARLOS,"Operador de Maquinas Fixas, em Geral",Outros,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,848510,47121,9999,1,3,6,5,4,4,7,44,22,1,0,0,350450,2135,N,219,9,0000002631.23,000002.63,0000002022.50,000002.02,4712100,1,4,21.9,0,1,CNPJ,N,10,N,N,2019,6189,3504503,61891,AVARÉ,AVARE,Acougueiro,Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,784205,26108,9999,1,5,6,99,2,3,7,44,30,0,5,0,354990,2054,N,138,8,0000000000.00,000000.00,0000000964.85,000001.41,2610800,1,7,7.3,2,1,CNPJ,N,10,N,N,2013,7099,3549904,70998,SÃO JOSÉ DOS CAMPOS,SAO JOSE DOS CAMPOS,Alimentador de Linha de Producao,Indústria Eletroeletrônica,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,99,99,0,784205,46443,9999,1,3,6,99,3,3,7,44,21,0,3,0,350610,2062,N,61,4,0000000000.00,000000.00,0000001142.05,000001.68,4644301,1,8,9.6,2,1,CNPJ,N,10,N,N,2013,6221,3506102,62219,BEBEDOURO,BEBEDOURO,Alimentador de Linha de Producao,Indústria da Saúde,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,833125,49302,9999,1,4,6,3,4,5,5,44,26,0,0,0,355650,2135,N,66,2,0000000908.00,000001.45,0000001254.37,000002.01,4930203,1,6,34.7,0,1,CNPJ,N,10,N,N,2012,7233,3556503,72338,VÁRZEA PAULISTA,VARZEA PAULISTA,Operador de Prensa de Embutir Papelao,Logística,NÃO,CLT U/PJ IND,,,
9999,20,99,99,0,721410,28691,9999,1,5,6,6,5,2,7,44,32,0,7,0,351880,2062,N,1,2,0000002628.82,000003.33,0000002644.21,000003.34,2869100,1,7,5.1,2,1,CNPJ,N,10,N,N,2015,6477,3518800,64777,GUARULHOS,GUARULHOS,Operador de Fresadora com Comando Numerico,Indústria Metalmecânica,CONTRIBUINTE,CLT U/PJ IND,,,
1264,10,{ñ class},{ñ class},0,717020,41204,71,1,6,6,{ñ class},2,1,2,44,43,0,10,0,355030,2062,N,48,8,0000000000.00,000000.00,0000000471.36,000001.34,4120400,1,9,2.3,2,1,CNPJ,N,10,N,N,2006,7107,3550308,71072,SÃO PAULO,SAO PAULO,Servente de Obras,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
1638,10,{ñ class},{ñ class},0,422205,49230,79,1,3,5,5,4,4,6,36,18,0,0,0,355030,2143,N,31,2,0000000962.05,000002.53,0000000898.35,000002.40,4923001,2,6,21.9,0,1,CNPJ,N,10,N,N,2007,7107,3550308,71072,SÃO PAULO,SAO PAULO,Telefonista,Ausente da Carteira,NÃO,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,517420,8100,9999,1,8,6,{ñ class},{ñ class},7,5,44,66,0,0,0,350950,2062,N,365,8,0000000000.00,000000.00,0000000000.00,000000.00,810009,1,7,87.8,0,1,CNPJ,N,10,N,N,2009,6291,3509502,62910,CAMPINAS,CAMPINAS,Vigia,Indústria Química,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,715315,43991,9999,1,5,6,{ñ class},{ñ class},6,5,44,35,0,0,0,350950,2062,N,0,4,0000000000.00,000000.00,0000000000.00,000000.00,4399103,1,3,43.6,0,1,CNPJ,N,10,N,N,2007,6291,3509502,62910,CAMPINAS,CAMPINAS,Armador de Estrutura de Concreto Armado,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
273,20,{ñ class},{ñ class},0,715210,41204,14,1,6,6,{ñ class},{ñ class},4,2,44,42,0,0,0,355030,2062,N,364,2,0000000000.00,000000.00,0000000000.00,000000.00,4120400,1,7,20.2,0,1,CNPJ,N,10,N,N,2007,7107,3550308,71072,SÃO PAULO,SAO PAULO,Pedreiro,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,724110,47440,9999,1,3,6,4,3,3,6,44,21,1,2,0,354990,2062,N,1,2,0000000900.00,000001.93,0000000881.43,000001.89,4744005,1,4,10.4,2,1,CNPJ,N,10,N,N,2009,7099,3549904,70998,SÃO JOSÉ DOS CAMPOS,SAO JOSE DOS CAMPOS,Encanador,Indústria da Construção Civil,NÃO,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,764115,15297,9999,1,3,6,3,2,3,6,44,19,1,1,0,351620,2135,N,51,2,0000000485.00,000001.27,0000000475.37,000001.27,1529700,2,3,11.9,1,1,CNPJ,N,10,N,N,2007,6425,3516200,64254,FRANCA,FRANCA,Preparador de Calcados,Indústria Têxtil-Vestuária e Couro-Calçadista,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,517110,43215,9999,1,6,6,{ñ class},{ñ class},6,5,44,45,0,0,0,354880,2062,N,0,2,0000000000.00,000000.00,0000000000.00,000000.00,4321500,1,10,48.2,0,1,CNPJ,N,10,N,N,2007,7077,3548807,70777,SÃO CAETANO DO SUL,SAO CAETANO DO SUL,Bombeiro Civil,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
1759,10,99,99,0,513505,56201,93,1,5,6,99,99,8,6,44,39,0,0,0,355030,2062,N,365,2,0000000000.00,000000.00,0000000000.00,000000.00,5620101,2,9,172.4,0,1,CNPJ,N,10,N,N,2016,7107,3550308,71072,SÃO PAULO,SAO PAULO,Auxiliar nos Serviços de Alimentação,Indústria de Alimentos,CONTRIBUINTE,CLT U/PJ IND,,,
718,10,99,99,0,721325,25934,4,1,5,6,4,3,5,7,44,35,1,0,0,355030,2062,N,33,2,0000001331.58,000001.68,0000001355.80,000001.71,2593400,1,5,31.7,0,1,CNPJ,N,10,N,N,2015,7107,3550308,71072,SÃO PAULO,SAO PAULO,Polidor de Metais,Indústria Metalmecânica,CONTRIBUINTE,CLT U/PJ IND,,,
1615,10,10,10,0,519910,81222,95,1,6,6,6,4,5,6,44,42,1,0,0,355030,2305,N,28,2,0000003062.60,000003.21,0000002851.32,000002.98,8122200,1,5,31.4,0,1,CNPJ,N,10,N,N,2018,7107,3550308,71072,SÃO PAULO,SAO PAULO,Controlador de Pragas,Indústria Química,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,231210,84116,9999,1,6,4,6,5,8,9,30,49,0,0,0,354680,1031,N,78,2,0000002803.88,000003.87,0000002712.56,000003.74,8411600,2,10,197.0,0,1,CNPJ,N,10,N,N,2014,7037,3546801,70378,SANTA ISABEL,SANTA ISABEL,Professor de Nivel Superior do Ensino Fundamental (Primeira a Quarta Serie),Outros,NÃO,CLT U/PJ IND,,,
9999,20,40,40,0,141720,84116,9999,1,6,5,5,4,8,4,40,47,0,0,0,355410,1031,N,12,99,0000002539.44,000002.66,0000002691.22,000002.81,8411600,2,10,125.8,0,1,CNPJ,N,30,N,N,2018,7183,3554102,71838,TAUBATÉ,TAUBATE,Gerente de Credito e Cobranca,Outros,NÃO,ESTATUTARIO,,,
9999,10,99,99,0,724410,82997,9999,1,7,6,7,6,1,7,44,55,0,12,0,351020,2062,N,13,2,0000003062.57,000004.92,0000003062.57,000004.92,8299799,1,3,0.9,2,1,CNPJ,N,10,N,N,2012,6305,3510203,63053,CAPÃO BONITO,CAPAO BONITO,Caldeireiro (Chapas de Ferro e Aco),Outros,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,511215,49213,9999,1,5,6,3,2,6,6,44,33,0,0,0,351350,2062,N,90,2,0000001099.83,000001.15,0000001109.89,000001.15,4921301,2,7,58.9,0,1,CNPJ,N,10,N,N,2018,6371,3513504,63711,CUBATÃO,CUBATAO,Cobrador de Transportes Coletivos (Exceto Trem),Ausente da Carteira,NÃO,CLT U/PJ IND,,,
{ñ class},10,99,99,0,231105,84116,80,1,6,5,7,6,7,9,40,45,0,0,0,355030,1031,N,65,99,0000004006.89,000004.55,0000004000.19,000004.54,8411600,2,10,80.1,0,1,CNPJ,N,30,N,N,2016,7107,3550308,71072,SÃO PAULO,SAO PAULO,Professor de Nivel Superior na Educacao Infantil (Quatro a Seis Anos),Outros,NÃO,ESTATUTARIO,,,
473,10,{ñ class},{ñ class},0,322230,94308,65,1,7,5,4,3,7,7,40,51,0,0,0,355030,3999,N,365,4,0000000740.51,000001.78,0000000700.01,000001.70,9430800,2,4,77.9,0,1,CNPJ,N,10,N,N,2008,7107,3550308,71072,SÃO PAULO,SAO PAULO,Auxiliar de Enfermagem,Ausente da Carteira,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,717020,41204,9999,1,6,6,99,99,5,7,44,49,0,0,0,354990,2062,N,365,8,0000000000.00,000000.00,0000000000.00,000000.00,4120400,1,2,35.3,0,3,CEI,N,15,N,N,2015,7099,3549904,70998,SÃO JOSÉ DOS CAMPOS,SAO JOSE DOS CAMPOS,Servente de Obras,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PF IND,,,
9999,10,99,99,0,519110,49302,9999,1,5,6,99,99,5,7,44,30,0,0,0,350570,2062,N,364,2,0000000000.00,000000.00,0000000000.00,000000.00,4930201,1,5,25.9,0,1,CNPJ,N,10,N,N,2013,6213,3505708,62138,BARUERI,BARUERI,Motociclista no Transporte de Documentos e Pequenos Volumes,Logística,NÃO,CLT U/PJ IND,,,
{ñ class},10,99,99,0,517310,84116,66,1,7,5,7,5,5,7,40,53,0,0,0,355030,1147,N,108,8,0000002923.30,000004.69,0000002233.63,000003.58,8411600,1,9,34.9,0,1,CNPJ,N,10,N,N,2012,7107,3550308,71072,SÃO PAULO,SAO PAULO,Agente de Seguranca,Outros,NÃO,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,715505,42995,9999,1,4,6,5,4,4,4,44,29,0,12,0,353650,2151,N,363,4,0000000759.62,000002.17,0000000738.76,000002.19,4299599,1,7,12.9,0,1,CNPJ,N,10,N,N,2006,6831,3536505,68314,PAULÍNIA,PAULINIA,Carpinteiro,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,519110,77390,9999,1,4,6,5,4,4,7,44,26,1,0,0,354730,2062,N,156,2,0000001100.00,000002.65,0000000956.66,000002.32,7739099,1,3,18.9,0,1,CNPJ,N,10,N,N,2008,7047,3547304,70475,SANTANA DE PARNAÍBA,SANTANA DE PARNAIBA,Motociclista no Transporte de Documentos e Pequenos Volumes,Indústria Metalmecânica,NÃO,CLT U/PJ IND,,,
9999,10,{ñ class},{ñ class},0,517220,84116,9999,1,6,6,5,4,4,7,44,46,0,0,0,352690,1031,N,12,{ñ class},0000001038.53,000002.23,0000001071.21,000002.32,8411600,1,10,20.8,0,1,CNPJ,N,30,N,N,2009,6639,3526902,66397,LIMEIRA,LIMEIRA,Agente de Transito,Outros,NÃO,ESTATUTARIO,,,
9999,10,{ñ class},{ñ class},0,848510,47121,9999,1,6,6,4,2,5,7,44,40,1,0,0,351880,2062,N,21,2,0000000906.78,000001.95,0000000652.26,000001.41,4712100,2,3,31.9,0,1,CNPJ,N,10,N,N,2009,6477,3518800,64777,GUARULHOS,GUARULHOS,Acougueiro,Indústria de Alimentos,NÃO,CLT U/PJ IND,,,
518,10,{ñ class},{ñ class},0,848510,47229,11,1,5,6,5,4,4,7,44,38,1,0,0,355030,2062,N,146,2,0000000917.19,000002.41,0000000886.74,000002.32,4722901,1,5,22.9,0,1,CNPJ,N,10,N,N,2007,7107,3550308,71072,SÃO PAULO,SAO PAULO,Acougueiro,Ausente da Carteira,NÃO,CLT U/PJ IND,,,
9999,10,99,99,0,784205,28321,9999,1,5,6,4,2,6,7,44,34,0,0,0,355620,2062,N,321,2,0000001438.87,000001.82,0000001007.81,000001.27,2832100,1,7,47.4,0,1,CNPJ,N,10,N,N,2015,7225,3556206,72257,VALINHOS,VALINHOS,Alimentador de Linha de Producao,Indústria Metalmecânica,CONTRIBUINTE,CLT U/PJ IND,,,
9999,10,99,99,0,721215,22196,9999,1,7,6,6,5,7,7,44,51,0,0,0,350920,2062,N,107,2,0000003748.67,000003.92,0000003586.23,000003.75,2219600,1,5,65.6,0,1,CNPJ,N,10,N,N,2018,6285,3509205,62855,CAJAMAR,CAJAMAR,Operador de Maquinas-Ferramenta Convencionais,Indústria do Plástico e da Borracha,CONTRIBUINTE,CLT U/PJ IND,,,
343,10,99,99,0,717020,43304,12,1,7,6,4,3,6,3,44,54,0,0,0,355030,2062,N,365,8,0000001067.00,000001.57,0000001037.66,000001.52,4330499,1,9,53.8,0,1,CNPJ,N,10,N,N,2013,7107,3550308,71072,SÃO PAULO,SAO PAULO,Servente de Obras,Indústria da Construção Civil,CONTRIBUINTE,CLT U/PJ IND,,,
